epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3994,1.93575,3.86205,1.61918,0.00075,0.16667,0.04903,0.03101,1.81548,23.3549,0.72114,1.818e-05,1.818e-05,1.818e-05
2,95.677,1.73867,3.79951,1.44632,0.00076,0.16667,0.12482,0.09797,1.82733,23.3429,0.68129,4.5e-05,4.5e-05,4.5e-05
3,132.229,1.42945,3.59575,1.25043,0.00096,0.16667,0.14613,0.12466,1.8711,23.3179,0.64072,7.12801e-05,7.12801e-05,7.12801e-05
4,173.574,1.83445,3.58822,1.21159,0.00137,0.16667,0.13534,0.12094,1.91288,23.295,0.59546,9.70203e-05,9.70203e-05,9.70203e-05
5,211.752,1.89522,3.35338,1.14021,0.00174,0.16667,0.11146,0.09453,1.89705,23.2758,0.56305,0.000122221,0.000122221,0.000122221
6,246.972,2.4254,3.30132,1.16023,0.00158,0.16667,0.12558,0.10532,1.87041,23.2551,0.54911,0.000146881,0.000146881,0.000146881
7,283.107,2.7506,3.30571,1.13518,0.00173,0.16667,0.13048,0.11147,1.89738,23.2319,0.54482,0.000171001,0.000171001,0.000171001
8,319.665,2.49826,3.04171,1.0831,0.00189,0.16667,0.12705,0.10836,1.92417,23.2104,0.54263,0.000194581,0.000194581,0.000194581
9,357.263,2.78585,3.07862,1.08461,0.966,0.07259,0.12452,0.10671,1.97044,23.0704,0.53964,0.000217622,0.000217622,0.000217622
10,392.688,3.06188,3.24467,1.08219,0.96268,0.07407,0.10784,0.08851,1.99737,23.0179,0.54395,0.000240122,0.000240122,0.000240122
11,427.014,3.09683,3.30243,1.13594,0.88445,0.09259,0.07521,0.06078,1.99369,22.8639,0.55303,0.000262083,0.000262083,0.000262083
12,466.033,3.09288,3.15087,1.08806,0.90022,0.07407,0.05593,0.04442,2.03163,22.7199,0.5647,0.000283503,0.000283503,0.000283503
13,505.913,3.23132,3.17662,1.08278,0.86345,0.03704,0.03682,0.0292,2.08925,22.1569,0.58335,0.000304384,0.000304384,0.000304384
14,545.725,3.00688,3.07956,1.06391,0.88471,0.11111,0.05727,0.04624,2.06327,21.9638,0.57669,0.000324725,0.000324725,0.000324725
15,583.459,3.04886,3.06235,1.07096,0.84968,0.11111,0.01639,0.00978,2.11241,22.2949,0.58238,0.000344526,0.000344526,0.000344526
16,45138,3.10771,2.97481,1.03996,0.85048,0.12963,0.01724,0.01165,2.14156,23.062,0.58885,0.000363786,0.000363786,0.000363786
17,45240.4,3.03513,3.06902,1.04991,0.84638,0.05556,0.01548,0.01236,2.07542,25.9586,0.57526,0.000382507,0.000382507,0.000382507
18,45317.2,2.85833,2.87139,1.04091,0.85716,0.05556,0.02579,0.0219,2.04676,28.2142,0.56622,0.000400688,0.000400688,0.000400688
