epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,45374,2.97452,2.94729,1.01496,0.87749,0.07407,0.04188,0.03526,2.02758,31.495,0.56239,0.000418329,0.000418329,0.000418329
20,45414.8,2.92694,2.93962,1.03507,0.8934,0.09259,0.10864,0.09232,2.03957,37.7281,0.56692,0.00043543,0.00043543,0.00043543
21,45468.5,3.02787,2.88167,1.00593,0.9004,0.16667,0.14094,0.11623,1.97069,44.2297,0.56113,0.000451991,0.000451991,0.000451991
22,45540,2.9876,2.8521,1.02274,0.89633,0.16667,0.16335,0.14293,1.82156,45.596,0.54085,0.000468012,0.000468012,0.000468012
23,45610.6,2.96641,2.90968,1.00958,0.8974,0.16667,0.16087,0.14303,1.73921,44.8355,0.53286,0.000483493,0.000483493,0.000483493
24,45685.3,2.92682,2.88689,1.01576,0.88928,0.16667,0.15398,0.13232,1.73757,46.6444,0.53289,0.000498435,0.000498435,0.000498435
25,45753.6,2.83899,2.72002,0.99754,0.88387,0.16667,0.1346,0.11514,1.70588,50.2216,0.52831,0.000512836,0.000512836,0.000512836
26,45822.7,2.96546,2.85809,1.03376,0.8801,0.16667,0.11811,0.10203,1.69552,54.1491,0.52388,0.000526697,0.000526697,0.000526697
27,45906.7,2.8865,2.67094,0.99779,0.88038,0.16667,0.09295,0.08323,1.73456,54.0494,0.52673,0.000540019,0.000540019,0.000540019
28,45981.3,2.84605,2.71368,0.98853,0.88501,0.16667,0.09381,0.08318,1.7536,51.7099,0.52966,0.0005528,0.0005528,0.0005528
29,46051.3,2.89163,2.62735,0.98381,0.88501,0.16667,0.09381,0.08318,1.7536,51.7099,0.52966,0.000565042,0.000565042,0.000565042
30,46113.9,2.7764,2.6605,1.00299,0.89115,0.16667,0.11754,0.10247,1.75665,47.7745,0.53072,0.000576743,0.000576743,0.000576743
31,76414.8,2.749,2.55662,0.99285,0.88912,0.16667,0.14203,0.12286,1.76651,47.859,0.53085,0.000587905,0.000587905,0.000587905
32,76494.5,2.86106,2.65717,0.99113,0.88884,0.16667,0.15618,0.13219,1.74506,45.5339,0.52602,0.000598527,0.000598527,0.000598527
33,76566.7,2.71794,2.51061,0.97475,0.88884,0.16667,0.15618,0.13219,1.74506,45.5339,0.52602,0.000608608,0.000608608,0.000608608
34,76614.4,2.56475,2.45732,0.95663,0.89261,0.16667,0.15374,0.13417,1.72201,45.5928,0.52072,0.00061203,0.00061203,0.00061203
35,76672.4,2.70349,2.58717,0.98917,0.89886,0.16667,0.10021,0.08729,1.72284,45.2081,0.51831,0.000603031,0.000603031,0.000603031
36,76716.6,2.68766,2.51869,0.98986,0.87104,0.12963,0.04729,0.03967,1.73901,44.5834,0.51814,0.000594031,0.000594031,0.000594031
37,76759.7,2.72469,2.59028,0.99009,0.87104,0.12963,0.04729,0.03967,1.73901,44.5834,0.51814,0.000585032,0.000585032,0.000585032
38,76810.5,2.60818,2.50273,1.00799,0.867,0.11733,0.03885,0.03188,1.73361,41.2271,0.5182,0.000576033,0.000576033,0.000576033
39,76857.7,2.59507,2.51958,0.98096,0.91328,0.14815,0.1073,0.09687,1.70607,34.3413,0.51853,0.000567034,0.000567034,0.000567034
40,76910.5,2.73494,2.38789,0.96534,0.93727,0.16667,0.15129,0.13467,1.68091,27.5456,0.51708,0.000558035,0.000558035,0.000558035
41,76955.5,2.63484,2.43672,0.96851,0.93727,0.16667,0.15129,0.13467,1.68091,27.5456,0.51708,0.000549036,0.000549036,0.000549036
42,77000.6,2.71166,2.3959,0.96305,0.94231,0.16667,0.16389,0.14155,1.6813,22.6604,0.51631,0.000540037,0.000540037,0.000540037
43,77043.5,2.5187,2.43777,0.98242,0.94454,0.16667,0.16772,0.14183,1.68183,21.3116,0.51558,0.000531038,0.000531038,0.000531038
44,77089.3,2.58943,2.38968,0.96522,0.9417,0.16667,0.15236,0.12743,1.68706,20.7034,0.51598,0.000522039,0.000522039,0.000522039
45,77662.5,2.5434,2.4386,0.97111,0.9417,0.16667,0.15236,0.12743,1.68706,20.7034,0.51598,0.00051304,0.00051304,0.00051304
46,77871,2.55391,2.33329,0.97515,0.93662,0.12963,0.11684,0.09656,1.72486,21.1286,0.51932,0.00050404,0.00050404,0.00050404
47,77948.4,2.4652,2.3677,0.95376,0.93564,0.14726,0.13,0.10892,1.78721,19.9176,0.52625,0.000495041,0.000495041,0.000495041
48,78024.4,2.69526,2.44218,0.96841,0.93733,0.15393,0.15352,0.13188,1.7783,18.6075,0.52392,0.000486042,0.000486042,0.000486042
49,78096.7,2.61773,2.38645,0.97914,0.93733,0.15393,0.15319,0.13179,1.7783,18.6075,0.52392,0.000477043,0.000477043,0.000477043
50,78153.5,2.7885,2.324,0.95159,0.93056,0.16667,0.14163,0.12237,1.71373,17.5979,0.51462,0.000468044,0.000468044,0.000468044
51,78197.6,2.42806,2.25715,0.95401,0.94861,0.16667,0.14777,0.12702,1.65319,16.6726,0.50693,0.000459045,0.000459045,0.000459045
52,78240.4,2.61286,2.30376,0.95864,0.95486,0.14968,0.15594,0.13568,1.63142,15.8814,0.50473,0.000450046,0.000450046,0.000450046
53,78281.8,2.53363,2.31794,0.94621,0.95486,0.14968,0.15594,0.13568,1.63142,15.8814,0.50473,0.000441047,0.000441047,0.000441047
54,78322.4,2.46743,2.2913,0.94692,0.97063,0.14815,0.1608,0.13905,1.63646,15.7185,0.5048,0.000432048,0.000432048,0.000432048
55,78361.1,2.44444,2.27929,0.97365,0.98096,0.14399,0.1649,0.14426,1.63,15.6281,0.50514,0.000423049,0.000423049,0.000423049
56,78400.7,2.4606,2.24284,0.97482,0.98096,0.14401,0.16455,0.14326,1.61315,16.0855,0.50482,0.000414049,0.000414049,0.000414049
57,78443.3,2.64285,2.23345,0.94684,0.98096,0.14401,0.16455,0.14326,1.61315,16.0855,0.50482,0.00040505,0.00040505,0.00040505
58,78484.4,2.66692,2.21557,0.93936,0.97602,0.14815,0.16617,0.1453,1.609,16.7376,0.5053,0.000396051,0.000396051,0.000396051
59,78523.6,2.4975,2.36371,0.95544,0.9705,0.14815,0.16653,0.14343,1.62206,16.7382,0.50699,0.000387052,0.000387052,0.000387052
60,78559.3,2.39966,2.20967,0.9593,0.98255,0.16667,0.16799,0.1469,1.63488,16.7243,0.50927,0.000378053,0.000378053,0.000378053
61,78620.4,2.39194,2.24158,0.94959,0.98029,0.16667,0.17329,0.1488,1.63488,16.7243,0.50927,0.000369054,0.000369054,0.000369054
62,78690.9,2.45786,2.24896,0.95067,0.98028,0.16667,0.16923,0.14778,1.64005,16.4647,0.51072,0.000360055,0.000360055,0.000360055
63,78767.6,2.414,2.2765,0.93704,0.98271,0.16043,0.17309,0.1499,1.63067,16.4666,0.50964,0.000351056,0.000351056,0.000351056
64,78835.9,2.40197,2.18841,0.9601,0.97686,0.14815,0.16725,0.14823,1.60825,16.9022,0.50709,0.000342057,0.000342057,0.000342057
65,78907.7,2.31544,2.1539,0.93972,0.97686,0.14815,0.17273,0.15125,1.60825,16.9022,0.50709,0.000333058,0.000333058,0.000333058
66,78985,2.36004,2.21728,0.93728,0.94876,0.12963,0.13567,0.11721,1.59079,16.9431,0.50563,0.000324058,0.000324058,0.000324058
67,79058.9,2.32308,2.26201,0.94959,0.97879,0.12732,0.1355,0.11301,1.58234,16.9325,0.50501,0.000315059,0.000315059,0.000315059
68,79122.5,2.21316,2.21694,0.95112,0.9729,0.12963,0.13567,0.11408,1.57226,16.9698,0.50412,0.00030606,0.00030606,0.00030606
69,79194.9,2.19148,2.13046,0.93262,0.97851,0.16667,0.16851,0.14464,1.57226,16.9698,0.50412,0.000297061,0.000297061,0.000297061
70,79259.6,2.34038,2.1232,0.92848,0.96969,0.12963,0.13227,0.11177,1.56767,16.9978,0.50351,0.000288062,0.000288062,0.000288062
71,79332.1,2.32032,2.23803,0.94442,0.96528,0.12963,0.12883,0.10861,1.58177,18.0306,0.50449,0.000279063,0.000279063,0.000279063
72,79383.2,2.17529,2.16673,0.94114,0.95681,0.16667,0.1645,0.13781,1.62614,18.7857,0.50814,0.000270064,0.000270064,0.000270064
73,79451.9,2.21298,2.13919,0.92335,0.95681,0.16667,0.1645,0.13781,1.62614,18.7857,0.50814,0.000261065,0.000261065,0.000261065
74,79489,2.34483,2.10548,0.94846,0.93721,0.16667,0.14539,0.12405,1.66498,19.1209,0.51193,0.000252066,0.000252066,0.000252066
75,79529.4,2.30988,2.07648,0.9388,0.93762,0.16667,0.14515,0.12251,1.68382,18.9552,0.51443,0.000243067,0.000243067,0.000243067
76,79571.2,2.40721,2.13305,0.92191,0.94868,0.16667,0.14843,0.12655,1.65213,19.0445,0.51175,0.000234068,0.000234068,0.000234068
77,79610.9,2.15532,2.14039,0.93613,0.94868,0.16667,0.14843,0.12655,1.65213,19.0445,0.51175,0.000225068,0.000225068,0.000225068
78,79652.2,2.31192,2.08052,0.92644,0.94641,0.16667,0.1579,0.13445,1.61138,18.8123,0.50834,0.000216069,0.000216069,0.000216069
79,79710,2.32333,2.06487,0.9232,0.96241,0.14815,0.1649,0.13806,1.57514,18.8987,0.50534,0.00020707,0.00020707,0.00020707
80,79783.2,2.35108,2.07245,0.91208,0.98299,0.1632,0.16887,0.14073,1.54547,18.922,0.50327,0.000198071,0.000198071,0.000198071
81,79847.7,2.35853,2.03813,0.91772,0.98299,0.1632,0.16887,0.14073,1.54547,18.922,0.50327,0.000189072,0.000189072,0.000189072
82,79919.4,2.15396,2.10994,0.94409,0.98185,0.16667,0.16479,0.13899,1.52474,19.2859,0.50205,0.000180073,0.000180073,0.000180073
83,79974.4,2.1615,2.07818,0.94261,0.97483,0.16667,0.16379,0.13848,1.51853,19.5236,0.50185,0.000171074,0.000171074,0.000171074
84,80022.8,2.11926,2.10864,0.95438,0.96412,0.16667,0.16022,0.1356,1.51821,19.9154,0.50254,0.000162075,0.000162075,0.000162075
85,80068.2,2.20651,2.08929,0.92605,0.96412,0.16667,0.16022,0.1356,1.51821,19.9154,0.50254,0.000153076,0.000153076,0.000153076
86,80112.7,2.23348,2.10901,0.91551,0.95743,0.16667,0.16391,0.13949,1.51611,20.0693,0.50276,0.000144077,0.000144077,0.000144077
87,80153.3,2.1874,2.07854,0.93034,0.95448,0.16667,0.16186,0.13799,1.51389,20.3422,0.50317,0.000135077,0.000135077,0.000135077
88,80193.6,2.08102,2.05479,0.93722,0.94863,0.16667,0.16014,0.13624,1.51626,20.3688,0.50381,0.000126078,0.000126078,0.000126078
89,80242.8,2.36268,2.04993,0.93649,0.94863,0.16667,0.16014,0.13624,1.51626,20.3688,0.50381,0.000117079,0.000117079,0.000117079
90,80296.5,2.19818,2.05714,0.93418,0.94825,0.16667,0.15939,0.13431,1.52288,19.9925,0.50445,0.00010808,0.00010808,0.00010808
91,80345,2.34996,2.63392,0.93626,0.94797,0.16667,0.15912,0.1331,1.52647,20.6711,0.50442,9.9081e-05,9.9081e-05,9.9081e-05
92,80396.8,2.43102,2.63911,0.93901,0.9399,0.16667,0.15086,0.12513,1.52165,22.7348,0.50328,9.00819e-05,9.00819e-05,9.00819e-05
93,80440,2.41683,2.62247,0.93309,0.9399,0.16667,0.15086,0.12513,1.52165,22.7348,0.50328,8.10828e-05,8.10828e-05,8.10828e-05
94,80480.1,2.38286,2.572,0.92471,0.93664,0.16667,0.14017,0.116,1.517,25.8732,0.5021,7.20837e-05,7.20837e-05,7.20837e-05
95,80518.3,2.45335,2.54502,0.93687,0.93523,0.16667,0.13344,0.11025,1.51219,30.5169,0.50105,6.30846e-05,6.30846e-05,6.30846e-05
96,80554.6,2.26572,2.44115,0.92953,0.90609,0.16667,0.12804,0.10516,1.5077,36.391,0.50034,5.40855e-05,5.40855e-05,5.40855e-05
97,80594.3,2.2526,2.48361,0.93148,0.90609,0.16667,0.12804,0.10516,1.5077,36.391,0.50034,4.50864e-05,4.50864e-05,4.50864e-05
98,80631.1,2.22344,2.39702,0.91866,0.89345,0.16667,0.11439,0.09314,1.50535,44.5788,0.49969,3.60873e-05,3.60873e-05,3.60873e-05
99,80669.4,2.39605,2.49059,0.9288,0.88694,0.16667,0.10978,0.08869,1.50148,53.664,0.49896,2.70882e-05,2.70882e-05,2.70882e-05
100,80715.4,2.24332,2.44763,0.91825,0.87735,0.16667,0.10158,0.0811,1.50045,61.4263,0.49852,1.80891e-05,1.80891e-05,1.80891e-05
